k,Tamaño,Tiempo_Secuencial,Tiempo_Paralelo,Aceleracion
1,  2,          12.26,         9.05,          1.35
2,  4,          30.33,         13.57,         2.23
3,  8,          50.68,         18.18,         2.79
4,  16,         147.59,        31.07,         4.75
5,  32,         464.61,        69.99,         6.64
6,  64,         1252.44,       186.30,        6.72
7,  128,        4845.17,       589.71,        8.22
8,  256,        25194.34,      2243.34,       11.23
9,  512,        185686.86,     8443.88,       21.99
con umbral=1
reconstCadenTurboMejorado
